timestamp,open,high,low,volume,close
1664258400,151.39,152.83,151.39,448.20139247,152.55
1664262000,152.61,152.74,151.59,46.62462262,151.98
1664265600,152.07,152.11,151.54,304.27732373,151.54
1664269200,151.55,152.03,151.55,33.66715547,151.91
1664272800,151.87,152.84,151.81,441.94157719,152.34
1664276400,152.13,152.7,151.81,409.86851891,152.11
1664280000,151.81,151.81,150.77,17.07304761,150.96
1664283600,150.96,151.1,150.44,148.04856711,150.44
1664287200,150.6,150.6,149.95,171.27272687,150.14
1664290800,150.14,150.14,148.72,276.3893651,148.72
1664294400,149.04,149.25,145.85,199.16540357,146.76
1664298000,146.62,146.99,145.18,154.93368624,145.21
1664301600,145.04,145.39,143.16,258.60535806,144.51
1664305200,144.67,144.67,143.1,109.83704161,143.88
1664308800,143.62,143.85,143.23,106.92039163,143.85
1664312400,143.93,143.93,143.37,75.63275765,143.92
1664316000,143.9,145.47,143.81,1605.63803015,145.37
1664319600,145.36,145.45,144.38,397.72313268,144.38
1664323200,144.38,145.23,144.22,182.53837367,145.12
1664326800,145.19,145.71,140.97,748.0005091,141.21
1664330400,141.26,144.68,141.08,281.33948687,142.28
1664334000,142.18,142.67,142.09,42.68260754,142.3
1664337600,142.47,142.77,141.61,357.75642039,142.63
1664341200,142.04,142.78,141.98,20.25123422,142.56
1664344800,142.5,142.52,141.43,160.62253981,141.43
1664348400,141.37,141.75,140.44,207.35114575,141.75
1664352000,141.68,141.68,141.08,82.21376971,141.16
1664355600,141.16,141.17,140.37,170.12567345,140.86
1664359200,140.78,142.53,140.7,113.77231094,142.21
1664362800,141.48,142.28,141.42,74.30343776,142.28
1664366400,142.35,143.6,142.35,204.79572413,143.36
1664370000,143.44,144.54,143.25,31.10367694,144.47
1664373600,144.56,147.39,144.56,294.59742206,146.77
1664377200,147.01,147.2,146.75,119.91129178,146.97
1664380800,146.98,147.49,145.63,38.35347325,145.63
1664384400,145.62,146.55,145.43,269.09559422,146.47
1664388000,146.04,147.31,146.04,156.95622631,147.31
1664391600,147.39,147.71,147.04,140.59400639,147.09
1664395200,146.93,147.93,146.93,73.4304148,147.61
1664398800,147.35,148.2,147.24,245.3715314,148.02
1664402400,148.02,148.02,147.19,14.27643006,147.26
1664406000,147.27,148.07,147.21,64.24113676,147.27
1664409600,147.2,148.03,146.26,38.84759384,146.85
1664413200,147.09,148.99,147.09,151.66809058,148.71
1664416800,148.74,148.78,147.69,54.15295747,147.86
1664420400,147.6,147.88,147.19,27.47161995,147.76
1664424000,147.76,148.37,147.41,278.24948696,148.31
1664427600,147.92,147.98,147,28.32976347,147
1664431200,147.23,147.34,146.88,67.75291517,147.09
1664434800,147.07,147.07,146.27,14.58842025,146.66
1664438400,146.81,147.02,146.32,9.5659465,146.52
1664442000,147.02,147.86,146.98,40.61411968,147.65
1664445600,147.24,147.89,147.22,121.92766398,147.64
1664449200,147.83,148.68,147.59,8.24794927,148.57
1664452800,148.49,148.7,147.3,94.36113117,147.6
1664456400,147.59,148.57,146.81,183.13872223,148.43
1664460000,148.1,148.58,147.16,296.68321343,148.51
1664463600,148.51,149.16,148.43,117.06772483,148.79
1664467200,148.71,148.71,147.88,496.4137599,148.07
1664470800,148.08,148.46,147.35,105.57394384,147.35
1664474400,147.08,147.74,146.65,425.60258148,147.63
1664478000,147.67,148.26,147.5,31.68360867,148.2
1664481600,148.2,149,148.18,77.99684217,148.79
1664485200,148.61,148.61,148.21,149.38388487,148.37
1664488800,148.29,148.5,147.39,79.12331563,147.49
1664492400,147.49,148.26,147.49,226.39417655,148.2
1664496000,148.22,148.54,147.63,43.00238978,148.12
1664499600,148.2,148.36,147.4,36.81903664,148.36
1664503200,148.47,148.47,147.44,160.37259935,147.79
1664506800,147.54,148.06,147.41,16.62599713,147.6
1664510400,147.72,148.51,147.72,36.57078262,148.2
1664514000,148.43,148.43,147.98,49.94906556,147.98
1664517600,148.07,148.86,147.87,56.49003262,148.86
1664521200,148.77,149.27,148.57,73.37789868,148.92
1664524800,149.09,149.9,148.84,48.0055666,149.89
1664528400,149.9,149.9,149.4,25.48777353,149.63
1664532000,149.93,150.6,149.45,69.05427282,149.53
1664535600,149.75,149.83,149.31,49.50243843,149.44
1664539200,149.26,150,148.49,2032.32578762,149.65
1664542800,148.98,149.61,148.61,121.240622,149.61
1664546400,149.5,150.41,149.08,442.49023556,150.31
1664550000,150.34,150.69,149.31,195.14244554,149.31
1664553600,149.44,149.6,148.96,94.06745239,149.34
1664557200,149.35,149.92,148.44,46.73560018,148.59
1664560800,148.44,148.71,148.22,16.09262957,148.32
1664564400,148.16,148.31,147.15,36.22541113,147.15
1664568000,147.13,147.31,146.5,115.02928463,146.5
1664571600,146.69,147.04,146.49,39.51811479,147.04
1664575200,146.71,147.14,146.23,235.91126675,147.05
1664578800,146.7,147.53,146.43,71.6808317,147.45
1664582400,147.25,147.87,147.01,25.26539898,147.16
1664586000,147.04,147.67,147.04,23.53739509,147.67
1664589600,147.52,148.45,147.49,36.79227693,148.37
1664593200,148.2,148.9,148.19,1027.78295941,148.79
1664596800,148.78,148.79,148.16,284.36861074,148.31
1664600400,148.37,148.8,148.29,9.48614167,148.29
1664604000,148.19,148.36,148.01,23.50235171,148.35
1664607600,148.46,149.54,148.46,41.06775939,149.54
1664611200,149.97,149.99,149.75,10.19702644,149.99
1664614800,149.99,150.05,149.76,55.47938456,149.86
1664618400,149.98,150.07,149.48,88.18358528,150.07
1664622000,150.05,150.28,149.49,77.3386354,149.97
1664625600,149.42,149.88,148.99,23.00136693,149.88
1664629200,149.5,150.17,149.42,90.87771789,149.73
1664632800,149.56,150.08,149.53,152.5882213,149.75
1664636400,149.92,150.1,149.71,215.29980896,149.76
1664640000,149.76,149.77,147.74,205.39679883,147.74
1664643600,147.66,147.66,146.88,159.06301337,147.07
1664647200,146.96,147.6,145,2295.86551356,146.14
1664650800,145.14,152.84,145.08,2687.95131281,145.08
1664654400,145.03,145.08,143.82,909.34156269,143.82
1664658000,143.82,143.91,142.34,979.43201985,142.44
1664661600,142.74,142.77,141.16,288.38264254,142.22
1664665200,141.86,141.86,141.15,194.0337332,141.19
1664668800,141.24,141.83,141.23,37.15676095,141.71
1664672400,141.63,141.84,139.79,338.03512959,140.22
1664676000,140.22,141.16,139.62,155.34731581,140.9
1664679600,140.81,141.93,140.31,117.28743746,141.86
1664683200,141.9,141.9,141.22,93.43055517,141.41
1664686800,141.37,141.42,141.06,36.81394517,141.12
1664690400,141.09,142.07,141.09,19.19924967,141.86
1664694000,141.75,141.75,141.22,48.42073192,141.51
1664697600,141.63,141.76,141.16,12.39759955,141.21
1664701200,141.16,141.3,140.73,27.90898605,140.73
1664704800,140.68,140.71,138.97,205.31230902,139.5
1664708400,139.49,141.17,139.49,129.12927622,140.19
1664712000,140.06,140.17,139.5,186.99915108,139.75
1664715600,139.82,140.35,139.16,2773.02851147,140.35
1664719200,140.36,140.36,139.56,342.23055453,139.56
1664722800,139.61,139.73,139.01,78.09816367,139.46
1664726400,139.58,140.53,139.58,170.54239047,139.83
1664730000,140.22,140.7,139.97,24.36722033,140.27
1664733600,140.26,140.57,139.98,72.89386562,140.27
1664737200,140.34,141.32,140.34,21.70320888,140.87
1664740800,140.98,141.35,140.27,220.36571718,140.47
1664744400,140.3,140.43,139.29,276.16053916,140.13
1664748000,139.93,140.14,138.84,63.86017479,138.96
1664751600,138.93,138.93,136.65,246.36081569,137.15
1664755200,137.14,137.55,136.76,38.97759178,137.55
1664758800,137.71,139.64,137.71,605.80437857,139.64
1664762400,139.64,139.84,138.97,33.31662054,138.97
1664766000,138.89,139.03,138.73,257.81928121,138.81
1664769600,138.77,138.77,138.07,23.68360914,138.22
1664773200,138.04,138.77,137.48,100.52713524,138.77
1664776800,138.77,139.16,138.33,84.18392383,138.46
1664780400,138.38,138.99,138.25,64.26140958,138.51
1664784000,138.52,138.84,138.37,31.28709137,138.84
1664787600,138.68,138.84,138.63,3.6707,138.63
1664791200,138.6,138.84,138.55,63.76430524,138.83
1664794800,138.84,139.34,138.84,50.8231194,139.34
1664798400,139.65,139.85,139.26,56.25432256,139.71
1664802000,139.86,139.99,139.05,1259.11227473,139.05
1664805600,139.33,141.12,139.33,592.54035455,141.12
1664809200,140.95,141.15,140.5,326.22520535,140.66
1664812800,140.75,140.75,139.89,230.44381005,140.6
1664816400,140.79,141.19,140.41,303.89408736,140.41
1664820000,140.54,141.08,140.54,434.62765344,141.07
1664823600,141.16,141.78,140.84,248.01314129,141.36
1664827200,141.35,141.35,140.63,265.50973434,141.33
1664830800,141.33,141.4,140.9,348.78381217,140.9
1664834400,140.91,141.21,140.9,241.89955731,140.9
1664838000,140.91,142.08,140.9,351.14420197,141.93
1664841600,141.97,143.16,141.97,63.8980786,142.28
1664845200,142.53,142.86,142.23,143.10950017,142.73
1664848800,142.62,142.75,142.16,59.94898,142.75
1664852400,142.71,143.16,142.71,18.34325213,143.08
1664856000,143.11,143.67,142.9,83.17629891,143.49
1664859600,143.71,143.75,143.36,13.86120507,143.74
1664863200,144,144.68,143.8,173.02839659,144.65
1664866800,144.61,145.05,144.4,743.4845169,144.63
1664870400,144.66,145.03,144.12,103.20755736,144.36
1664874000,144.4,145,144.35,8.70124749,145
1664877600,145,145.86,145,166.37601265,145.86
1664881200,145.84,146.42,145.65,544.75413049,146.08
1664884800,145.82,146.43,145.34,111.26713452,146.31
1664888400,146.4,147,146.37,29.75418934,147
1664892000,147,147.7,146.51,1567.65573087,146.75
1664895600,146.73,147.32,146.35,307.13676817,147.3
1664899200,147.33,147.42,146.2,264.95286676,146.35
1664902800,146.24,146.27,145.16,306.59626232,146
1664906400,146.15,146.25,145.33,98.65686782,145.71
1664910000,145.69,146.73,145.55,133.75577034,146.73
1664913600,146.74,147.41,146.33,365.13353967,146.89
1664917200,146.87,147.15,146.36,114.78244701,146.48
1664920800,146.38,147.67,146.25,156.79970369,147.58
1664924400,147.48,147.74,147.01,65.20670282,147.1
1664928000,146.79,146.82,145.86,125.63889693,146.09
1664931600,146.29,147.35,146.29,39.35867171,147
1664935200,146.93,147.16,146.22,84.83888493,146.52
1664938800,146.41,146.92,146.37,57.98003458,146.5
1664942400,146.6,146.81,146.34,425.95549157,146.5
1664946000,146.5,146.96,146.5,60.36185268,146.81
1664949600,146.87,148.24,146.65,92.98965078,147.85
1664953200,147.96,147.99,147.14,16.36330352,147.15
1664956800,147,147,145.5,182.89729125,145.5
1664960400,145.5,145.81,145.18,461.80613929,145.41
1664964000,145.24,145.48,145.1,6.15841423,145.11
1664967600,145.18,145.41,144.12,21.65212521,144.49
1664971200,144.51,144.89,144.34,63.17056491,144.87
1664974800,144.88,144.97,143.88,217.0392906,144.48
1664978400,144.48,145.14,144.19,64.3616763,145.14
1664982000,145.4,146.39,145.01,236.14495289,145.34
1664985600,145.42,146.47,145.42,153.03183683,146.23
1664989200,145.93,146.66,145.93,76.15267607,146.33
1664992800,146.41,146.65,145.65,607.98939905,146.38
1664996400,146.43,147.17,146.43,57.17559755,146.72
1665000000,146.8,146.8,145.95,61.15338413,145.95
1665003600,145.99,146.35,145.87,25.69091452,146.06
1665007200,146.21,146.76,146,459.20233095,146.76
1665010800,146.68,146.7,146.03,208.26027809,146.46
1665014400,146.5,147.77,146.45,75.97914757,147.33
1665018000,147.55,147.84,146.73,1707.99796094,147.84
1665021600,147.84,147.97,147.49,73.04579298,147.83
1665025200,147.77,148.87,147.3,329.45735279,148.73
1665028800,148.78,149.86,148,1414.00442375,148.23
1665032400,148.22,148.23,146.69,5811.37320663,146.9
1665036000,146.82,146.85,142.75,12041.59507738,145.31
1665039600,145.18,145.51,145.18,401.7128443,145.18
1665043200,145.29,145.86,144.93,275.96987112,145.14
1665046800,145.22,145.27,144.79,49.55125796,144.92
1665050400,144.82,145.11,144.72,75.8190177,144.72
1665054000,144.85,145.59,144.85,41.59548355,145.59
1665057600,145.73,145.73,145.04,155.21042155,145.04
1665061200,144.99,145.26,144,105.63349524,144.66
1665064800,144.13,144.4,143.53,161.19705393,144.23
1665068400,144.19,144.41,144.01,28.50862375,144.29
1665072000,144,144.21,143.63,193.91879921,143.82
1665075600,143.92,144.58,143.76,121.19834106,144.55
1665079200,144.32,145.48,144.27,731.92081604,145.33
1665082800,145.3,146.47,145.27,108.42781741,146.47
1665086400,146.62,149.58,145.61,3270.30580434,149.19
1665090000,149.13,152.47,148.81,3927.23079045,152.35
1665093600,151.47,151.47,149.35,323.5603606,149.85
1665097200,149.73,149.75,149.07,137.63876889,149.07
1665100800,149.11,149.41,148.34,818.08912349,148.99
1665104400,148.99,148.99,147.91,243.09075823,148.34
1665108000,148.39,148.44,147.61,183.8134878,147.61
1665111600,147.7,147.7,146.57,206.99655253,146.81
1665115200,146.61,148.14,146.61,471.99917071,147.86
1665118800,147.69,148.86,147.69,303.35874957,148.12
1665122400,148.04,148.21,147.15,132.38066766,147.15
1665126000,147.54,148.12,147.54,5.14676925,148.12
1665129600,148.07,148.09,147.9,6.93801234,147.95
1665133200,148.01,149.46,147.65,61.55863674,147.65
1665136800,147.59,147.59,146.98,7.48608263,146.98
1665140400,147.34,147.35,146.49,23.5541523,146.49
1665144000,146.48,146.5,144.34,1956.7411828,145.36
1665147600,145.36,145.93,144.74,1204.24740922,145.44
1665151200,145.4,146.55,145.4,34.68153613,146.55
