timestamp,date,open,high,low,close,volume
1522108800,2018-03-27 00:00:00,7919.99,7945.13,7831.15,7893.79,584.72252552
1522112400,2018-03-27 01:00:00,7893.79,7938.95,7850.72,7888,252.26369415
1522116000,2018-03-27 02:00:00,7887.99,8232.14,7875.76,8183.25,1690.90535234
1522119600,2018-03-27 03:00:00,8183.25,8273.36,8130.01,8149.66,426.59617423
1522123200,2018-03-27 04:00:00,8152.26,8211.62,8138.98,8182.02,233.02671828
1522126800,2018-03-27 05:00:00,8182.02,8200,8032,8039.57,470.05787219
1522130400,2018-03-27 06:00:00,8032,8048.27,7820,7849.48,992.24434666
1522134000,2018-03-27 07:00:00,7844.75,7909.31,7821.77,7860.34,364.35389296
1522137600,2018-03-27 08:00:00,7861.56,7909.75,7742.11,7765,732.42647172
1522141200,2018-03-27 09:00:00,7773.94,7949.35,7761,7925.43,666.97057584
1522144800,2018-03-27 10:00:00,7925.43,8046.35,7888,7972.43,651.25922957
1522148400,2018-03-27 11:00:00,7972.43,7982,7870.35,7922.16,480.2044383
1522152000,2018-03-27 12:00:00,7923.49,8055.11,7831.15,7943.32,1191.54443882
1522155600,2018-03-27 13:00:00,7949.23,8000,7903,7931.64,284.07707307
1522159200,2018-03-27 14:00:00,7934.87,8057.95,7931,8006.03,554.81049046
1522162800,2018-03-27 15:00:00,7992.22,8012.25,7871.15,7934.23,622.04365767
1522166400,2018-03-27 16:00:00,7934.23,7999.77,7885.68,7947.28,452.2949706
1522170000,2018-03-27 17:00:00,7947.28,8150,7931.27,8100,572.83543534
1522173600,2018-03-27 18:00:00,8092.5,8117.36,8031.69,8061.07,413.51462998
1522177200,2018-03-27 19:00:00,8059.22,8136.69,8036.83,8057.89,395.07486655
1522180800,2018-03-27 20:00:00,8057.89,8126.4,8056.68,8096.76,404.43206038
1522184400,2018-03-27 21:00:00,8103.15,8109.97,7881.91,7914.61,743.1615374
1522188000,2018-03-27 22:00:00,7910,7950,7850,7885.22,384.93655877
1522191600,2018-03-27 23:00:00,7885.98,7913.95,7831.15,7894.09,257.14243465
1522195200,2018-03-28 00:00:00,7902.99,8039.16,7878.44,7995,325.38207071
1522198800,2018-03-28 01:00:00,7995.02,8032.88,7969.79,8005.27,133.3672677
1522202400,2018-03-28 02:00:00,8005.13,8011.68,7909.75,7969.43,231.91612677
1522206000,2018-03-28 03:00:00,7970.69,7999.67,7760,7791.7,828.17311983
1522209600,2018-03-28 04:00:00,7791.69,7831.15,7723.03,7799.5,601.18808184
1522213200,2018-03-28 05:00:00,7797.54,7848.51,7775.24,7830,187.34070546
1522216800,2018-03-28 06:00:00,7819.61,7843.55,7753.32,7828.99,364.87112827
1522220400,2018-03-28 07:00:00,7828.99,7886.43,7827.99,7862.27,238.38433916
1522224000,2018-03-28 08:00:00,7862.27,7869.99,7814.2,7831.56,146.92112451
1522227600,2018-03-28 09:00:00,7830.06,7877.03,7809.01,7848.57,196.24388907
1522231200,2018-03-28 10:00:00,7841.02,7909.75,7841.01,7891.61,382.76009715
1522234800,2018-03-28 11:00:00,7891.6,7949.35,7856,7880.97,428.53605198
1522238400,2018-03-28 12:00:00,7875.73,7918.33,7857.34,7908.21,232.35614579
1522242000,2018-03-28 13:00:00,7908.21,8104.98,7900.82,8090.14,880.756691
1522245600,2018-03-28 14:00:00,8087.47,8102.99,8021.62,8040,691.93607428
1522249200,2018-03-28 15:00:00,8039.99,8100,8010.86,8042.92,298.9913106
1522252800,2018-03-28 16:00:00,8051.61,8067.1,7988.99,8022.67,365.18936808
1522256400,2018-03-28 17:00:00,8022.53,8050,8007.24,8039.68,293.37379625
1522260000,2018-03-28 18:00:00,8033.81,8039.9,7880,7899.16,665.33886342
1522263600,2018-03-28 19:00:00,7899.16,7935.57,7831.68,7867.14,453.12965798
1522267200,2018-03-28 20:00:00,7867.14,7925,7862.9,7883.34,246.47093863
1522270800,2018-03-28 21:00:00,7883.33,7945.93,7865.59,7925.99,256.3572549
1522274400,2018-03-28 22:00:00,7926.99,7957.99,7880,7929.42,354.26603079
1522278000,2018-03-28 23:00:00,7939.71,7950.43,7881,7905.73,128.03010219
1522281600,2018-03-29 00:00:00,7905.73,7939.52,7875.47,7900.2,271.31958801
1522285200,2018-03-29 01:00:00,7914.08,7934.68,7831.15,7873,183.53878703
1522288800,2018-03-29 02:00:00,7873,8000,7859.94,7958.74,437.22547891
1522292400,2018-03-29 03:00:00,7958.74,7975.01,7914.91,7932.41,133.11917441
1522296000,2018-03-29 04:00:00,7932.41,7949.62,7910.84,7945.58,75.89967172
1522299600,2018-03-29 05:00:00,7944.62,7968,7868.09,7886.53,298.48628392
1522303200,2018-03-29 06:00:00,7872.12,7909.69,7853.1,7900,129.09605769
1522306800,2018-03-29 07:00:00,7892.7,7898.22,7826.67,7866.63,611.75410675
1522310400,2018-03-29 08:00:00,7863.09,7879.99,7591.13,7594.69,1914.86786301
1522314000,2018-03-29 09:00:00,7591.52,7667.69,7540,7557.08,1099.33955847
1522317600,2018-03-29 10:00:00,7560.87,7625.58,7527,7618.61,473.40549481
1522321200,2018-03-29 11:00:00,7618.6,7618.61,7478.17,7542.5,1345.90775365
1522324800,2018-03-29 12:00:00,7540.1,7580.14,7461.29,7544.4,690.06924812
1522328400,2018-03-29 13:00:00,7544.3,7579.73,7476.48,7510.37,475.44197088
1522332000,2018-03-29 14:00:00,7515.27,7542.08,7431.13,7476.9,578.00616438
1522335600,2018-03-29 15:00:00,7478.2,7498.94,7438.49,7474.89,662.97981447
1522339200,2018-03-29 16:00:00,7474.89,7554.12,7456.2,7492.33,787.07968531
1522342800,2018-03-29 17:00:00,7490.86,7534.62,7449.68,7481.32,565.31209638
1522346400,2018-03-29 18:00:00,7473.88,7493.3,7330,7390.49,1559.82677723
1522350000,2018-03-29 19:00:00,7390.49,7478.88,7386.85,7468,433.74830398
1522353600,2018-03-29 20:00:00,7483.25,7562.13,7476.6,7496.6,589.56213824
1522357200,2018-03-29 21:00:00,7495.29,7522.5,7421.01,7446.06,894.66533153
1522360800,2018-03-29 22:00:00,7443.16,7465.15,7412.57,7442,349.31511401
1522364400,2018-03-29 23:00:00,7442,7480.28,7329,7346.96,719.13387086
1522368000,2018-03-30 00:00:00,7337.06,7382.58,7100,7100,1731.58759209
1522371600,2018-03-30 01:00:00,7100,7264.41,6914.53,7074.99,3092.479307250001
1522375200,2018-03-30 02:00:00,7074.99,7338.91,7069.68,7175.95,2145.20321721
1522378800,2018-03-30 03:00:00,7171.49,7211.75,7060.01,7088.38,914.94671032
1522382400,2018-03-30 04:00:00,7086.14,7156.63,6810,6822.19,1663.88137253
1522386000,2018-03-30 05:00:00,6822.19,6889,6691.28,6889,2587.298205649999
